chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
ZUO PHARMACY LIMITED,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
MAUPLUS PHARMACY LTD,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
SOUL PHARMACY LIMITED,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
FLY ZIPLINE GHANA LIMITED,1,18880.0,1,1,18880.0,18880.0
KOFI PHARMA LTD,1,18880.0,1,1,18880.0,18880.0
BLESS ONE PHARMACY,1,18880.0,1,1,18880.0,18880.0
ABOAGYE PHARMACEUTICALS LIM,1,18880.0,1,1,18880.0,18880.0
PRIMOSS PHARMACY,1,18880.0,1,1,18880.0,18880.0
PHILFBEST PHARMA LTD,1,18880.0,1,1,18880.0,18880.0
F5 PHARMACEUTICALS LIMITED,1,18880.0,1,1,18880.0,18880.0
MULTICARE PHARMACY LTD.,1,18880.0,1,1,18880.0,18880.0
FRANJUL PHARMACY,1,18686.75,1,1,18686.75,18686.75
FRUITFUL MOUNT PHARMACY LTD,1,18686.75,1,1,18686.75,18686.75
ESTHMARK PHARMACY LIMITED,1,18686.75,1,1,18686.75,18686.75
SAPKUMA PHARMACY,1,18686.75,1,1,18686.75,18686.75
NUMARK PHARMACY (KENYASI BR,1,18386.75,1,1,18386.75,18386.75
SARKRENE PHARMACY LTD,1,18386.75,1,1,18386.75,18386.75
FIRST CARE PHARMACY,1,18386.75,1,1,18386.75,18386.75
FRIMPANDY PHARMACY,1,18386.75,1,1,18386.75,18386.75
OFO COMPANY LTD,1,18250.4,1,1,18250.4,18250.4
EVE PHARMACY LTD,1,18250.4,1,1,18250.4,18250.4
PADEKO PHARMACY,1,18250.4,1,1,18250.4,18250.4
DONMORSH PHARMACY LTD,1,18250.4,1,1,18250.4,18250.4
BISA NYAME PHARMACY,1,18250.4,1,1,18250.4,18250.4
ALBWIN PHARMACY LTD,1,18045.0,1,1,18045.0,18045.0
AFDOC PHARMACY,1,18045.0,1,1,18045.0,18045.0
SAFELINE PHARMACY,1,18045.0,1,1,18045.0,18045.0
AFFDOC PHARMACY LTD,1,18045.0,1,1,18045.0,18045.0
JEPHPONG PHARMACY LTD,1,18045.0,1,1,18045.0,18045.0
GASTONSIN PHARMACY LTD,1,18045.0,1,1,18045.0,18045.0
MINAMO PHARMACY LTD,2,17301.16408856536,2,2,8650.58204428268,8650.58204428268
MEDCOURT PHARMACY (NSOATR,1,17005.25,1,1,17005.25,17005.25
HOLY STREET PHARMACY LTD,1,17005.25,1,1,17005.25,17005.25
O. K PHARMACY LTD,1,17005.25,1,1,17005.25,17005.25
O. K. PHARMACY,1,17005.25,1,1,17005.25,17005.25
MPEG PHARMACY,1,17005.25,1,1,17005.25,17005.25
TIMELESS PHARMACY LTD.,1,17005.25,1,1,17005.25,17005.25
CEDES PHARMACY,1,17005.25,1,1,17005.25,17005.25
MIR PHARMACY,1,16929.9,1,1,16929.9,16929.9
AGO PHARMACEUTICALS,1,16929.9,1,1,16929.9,16929.9
KLINS PHARMACY LTD,1,16929.9,1,1,16929.9,16929.9
KLINS PHARMACY,1,16929.9,1,1,16929.9,16929.9
